epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9379,4.83645,7.27306,4.64794,0,0,0,0,4.94488,6.45541,4.15956,0.0001,0.0001,0.0001
2,102.117,4.8525,6.90655,4.5335,0,0,0,0,4.94702,6.45942,4.15989,0.000217822,0.000217822,0.000217822
3,142.864,4.60541,6.03097,4.31729,0,0,0,0,4.94926,6.45314,4.15998,0.000333268,0.000333268,0.000333268
4,184.59,4.51065,6.11254,4.24598,0,0,0,0,4.95367,6.42583,4.16094,0.000446338,0.000446338,0.000446338
5,225.581,4.32312,5.7623,4.02134,0,0,0,0,4.96156,6.38172,4.16354,0.000557032,0.000557032,0.000557032
6,269.171,3.65688,5.42331,3.9948,0,0,0,0,4.98112,6.3002,4.1731,0.00066535,0.00066535,0.00066535
7,312.578,3.62218,4.64453,3.63209,0,0,0,0,5.01606,6.09041,4.19479,0.000771292,0.000771292,0.000771292
8,353.325,3.24792,4.26119,3.42812,0,0,0,0,5.05038,5.83859,4.22179,0.000874858,0.000874858,0.000874858
9,392.581,3.02394,3.92578,3.22258,0,0,0,0,5.06619,5.53244,4.24224,0.000976048,0.000976048,0.000976048
10,431.901,2.96595,3.83366,3.08484,0,0,0,0,5.05518,5.46644,4.24272,0.00107486,0.00107486,0.00107486
11,471.739,2.78579,3.74255,2.90606,0,0,0,0,5.07121,5.75221,4.27086,0.0011713,0.0011713,0.0011713
12,510.896,2.7719,3.23985,2.59485,0,0,0,0,5.09882,5.55715,4.31224,0.00126536,0.00126536,0.00126536
13,550.137,2.89064,3.4674,2.59913,0,0,0,0,5.1211,5.21973,4.34951,0.00135705,0.00135705,0.00135705
14,589.118,2.7433,3.1783,2.51476,0,0,0,0,5.08051,5.35878,4.32509,0.00144636,0.00144636,0.00144636
15,629.337,2.70887,2.94642,2.70243,0,0,0,0,5.04256,5.28438,4.29343,0.00153329,0.00153329,0.00153329
16,668.421,2.50352,2.83716,2.42698,0,0,0,0,4.91127,5.1441,4.19292,0.00161785,0.00161785,0.00161785
17,707.457,2.35177,2.80554,2.36726,0,0,0,0,4.79734,5.10206,4.11391,0.0016832,0.0016832,0.0016832
18,747.017,2.51828,2.74753,2.44284,0.46686,0.01075,0.01518,0.00758,4.45154,4.91779,3.90046,0.0016634,0.0016634,0.0016634
19,786.145,2.29236,2.53832,2.39463,0.55223,0.02151,0.02831,0.01727,4.13701,4.82729,3.75174,0.0016436,0.0016436,0.0016436
20,825.335,2.082,2.23987,2.04441,0.46844,0.06645,0.0716,0.02847,3.58981,4.43641,3.41335,0.0016238,0.0016238,0.0016238
21,864.395,2.18074,2.32982,2.08961,0.30209,0.07527,0.07999,0.02847,3.23807,4.13937,3.18274,0.001604,0.001604,0.001604
22,904.027,2.22445,2.19483,2.10745,0.48018,0.18879,0.24491,0.09311,2.66404,3.48078,2.7887,0.0015842,0.0015842,0.0015842
23,947.056,2.24316,2.19553,2.1036,0.45425,0.17906,0.26623,0.09972,2.44037,3.32996,2.63358,0.0015644,0.0015644,0.0015644
24,1002.97,2.04189,2.03319,1.96507,0.62593,0.49462,0.51794,0.2549,1.94261,2.67136,2.28175,0.0015446,0.0015446,0.0015446
25,1053.72,2.15345,2.13643,2.1044,0.51703,0.43011,0.46679,0.22603,1.93319,2.72023,2.26312,0.0015248,0.0015248,0.0015248
26,1099.97,2.22956,2.11363,2.08084,0.41136,0.29032,0.30767,0.11185,2.1126,3.02662,2.3754,0.001505,0.001505,0.001505
27,1148.54,2.15125,2.03413,2.08597,0.37749,0.46237,0.35566,0.13189,2.09957,2.73734,2.34632,0.0014852,0.0014852,0.0014852
28,1212.23,2.09544,1.92179,1.96886,0.42919,0.55787,0.46826,0.23055,1.79609,2.42114,2.05517,0.0014654,0.0014654,0.0014654
29,1273.29,1.94726,1.88176,1.94606,0.34854,0.41422,0.37994,0.19402,1.84858,2.53982,2.089,0.0014456,0.0014456,0.0014456
30,1335.39,2.0551,1.8557,2.02559,0.73671,0.62366,0.72363,0.35821,1.81306,1.91879,2.00311,0.0014258,0.0014258,0.0014258
31,1384.76,2.01151,1.80547,1.94117,0.72818,0.73118,0.78634,0.38261,1.80661,1.85162,2.00321,0.001406,0.001406,0.001406
32,1435.61,1.87129,1.76188,1.8433,0.66338,0.72047,0.72245,0.34557,1.75321,1.83033,1.95369,0.0013862,0.0013862,0.0013862
33,1483.33,2.00344,1.91175,1.96188,0.71481,0.73118,0.75866,0.34831,1.86393,1.91126,2.01706,0.0013664,0.0013664,0.0013664
34,1531.67,1.91697,1.76352,1.96263,0.70284,0.78495,0.78834,0.40417,1.72834,1.86156,1.94895,0.0013466,0.0013466,0.0013466
35,1583.73,1.96974,1.67912,1.8695,0.71915,0.63328,0.72257,0.41297,1.60449,2.01943,1.91519,0.0013268,0.0013268,0.0013268
36,1631.57,1.75751,1.69988,1.83675,0.72737,0.68817,0.73271,0.36391,1.71063,1.80499,1.91982,0.001307,0.001307,0.001307
37,1680.13,1.89305,1.57138,1.76733,0.76795,0.81848,0.81739,0.47194,1.53846,1.60834,1.79896,0.0012872,0.0012872,0.0012872
38,1729.74,1.85495,1.59157,1.80155,0.6817,0.74194,0.74379,0.40692,1.56738,1.70045,1.79712,0.0012674,0.0012674,0.0012674
39,1777.26,1.79405,1.74938,1.8861,0.69616,0.7957,0.73147,0.39614,1.55155,1.62759,1.79056,0.0012476,0.0012476,0.0012476
40,1825.9,1.8025,1.61125,1.82407,0.85555,0.76425,0.85606,0.50097,1.5745,1.61386,1.80021,0.0012278,0.0012278,0.0012278
41,1874.86,1.65165,1.42654,1.6683,0.70845,0.77419,0.79224,0.47093,1.59899,1.57157,1.81342,0.001208,0.001208,0.001208
42,1924.44,1.7601,1.39941,1.67248,0.71134,0.62366,0.71515,0.36824,1.70283,1.64881,1.86097,0.0011882,0.0011882,0.0011882
43,1972.6,1.7384,1.47861,1.7016,0.77969,0.70968,0.78864,0.42732,1.59297,1.55411,1.7829,0.0011684,0.0011684,0.0011684
44,2022.44,1.6369,1.42371,1.60709,0.79514,0.76344,0.80589,0.46949,1.42653,1.45841,1.66595,0.0011486,0.0011486,0.0011486
45,2079.06,1.6116,1.33517,1.55314,0.84832,0.76344,0.83131,0.47256,1.42972,1.41319,1.65313,0.0011288,0.0011288,0.0011288
46,2129.68,1.70945,1.61174,1.73921,0.86586,0.8329,0.86037,0.52838,1.42009,1.37695,1.62862,0.001109,0.001109,0.001109
47,2181.33,1.68364,1.39563,1.63781,0.87549,0.8172,0.8738,0.53193,1.40773,1.35185,1.64044,0.0010892,0.0010892,0.0010892
48,2228.32,1.5966,1.39136,1.65973,0.84517,0.84946,0.87419,0.52918,1.41034,1.38969,1.64409,0.0010694,0.0010694,0.0010694
49,2275.13,1.56589,1.38269,1.63053,0.90213,0.79297,0.89758,0.54871,1.40098,1.31334,1.60258,0.0010496,0.0010496,0.0010496
50,2322.42,1.66791,1.36403,1.61002,0.94424,0.72839,0.85951,0.51306,1.44747,1.46582,1.63141,0.0010298,0.0010298,0.0010298
51,2370.9,1.65295,1.37835,1.62645,0.89734,0.75193,0.86518,0.50573,1.49588,1.46586,1.65851,0.00101,0.00101,0.00101
52,2418.57,1.61404,1.43278,1.66117,0.91096,0.88004,0.91876,0.55722,1.39697,1.18943,1.59768,0.0009902,0.0009902,0.0009902
53,2465.55,1.62665,1.35583,1.69491,0.84368,0.88172,0.89785,0.50702,1.50377,1.27701,1.6481,0.0009704,0.0009704,0.0009704
54,2512.43,1.70197,1.43305,1.74381,0.88915,0.86252,0.90789,0.53286,1.41686,1.32153,1.60764,0.0009506,0.0009506,0.0009506
55,2559.47,1.53096,1.29318,1.63524,0.89169,0.87097,0.91023,0.52146,1.43681,1.2846,1.60992,0.0009308,0.0009308,0.0009308
56,2607.88,1.57929,1.22031,1.51258,0.88156,0.80033,0.87397,0.5374,1.31288,1.21503,1.53726,0.000911,0.000911,0.000911
57,2656.23,1.45522,1.23019,1.52288,0.89837,0.7957,0.89146,0.57705,1.30664,1.18047,1.52276,0.0008912,0.0008912,0.0008912
58,2704.13,1.4548,1.10951,1.48476,0.94792,0.83871,0.92913,0.60043,1.34046,1.16887,1.55737,0.0008714,0.0008714,0.0008714
59,2751.5,1.45434,1.14712,1.53939,0.90858,0.85495,0.9244,0.60003,1.31625,1.16231,1.5504,0.0008516,0.0008516,0.0008516
60,2801.97,1.51422,1.18489,1.51823,0.87218,0.88045,0.91797,0.59095,1.33822,1.16809,1.56389,0.0008318,0.0008318,0.0008318
61,2849.92,1.47844,1.11954,1.4804,0.87781,0.84969,0.8899,0.55581,1.362,1.19862,1.56273,0.000812,0.000812,0.000812
62,2897.95,1.47753,1.08593,1.45421,0.89579,0.83189,0.89255,0.54408,1.38404,1.20496,1.55609,0.0007922,0.0007922,0.0007922
63,2945.15,1.45395,1.15199,1.47448,0.91176,0.82796,0.89519,0.51672,1.47589,1.17878,1.59446,0.0007724,0.0007724,0.0007724
64,2993.55,1.54306,1.08496,1.54365,0.94138,0.86343,0.92727,0.56256,1.39074,1.11358,1.57727,0.0007526,0.0007526,0.0007526
65,3042.28,1.41347,1.03261,1.40586,0.91145,0.91398,0.93065,0.60179,1.28042,1.07826,1.53803,0.0007328,0.0007328,0.0007328
66,3090.79,1.38158,1.06386,1.44964,0.93244,0.89043,0.93448,0.60278,1.26049,1.04765,1.50777,0.000713,0.000713,0.000713
67,3141.81,1.38129,1.08283,1.44551,0.91504,0.92646,0.93935,0.62528,1.21404,1.01032,1.49069,0.0006932,0.0006932,0.0006932
68,3190.45,1.35568,1.04093,1.44591,0.93761,0.91398,0.94845,0.60068,1.28479,1.02737,1.51089,0.0006734,0.0006734,0.0006734
69,3240.11,1.35735,1.08089,1.52555,0.94505,0.92464,0.94231,0.62044,1.23047,1.03497,1.48613,0.0006536,0.0006536,0.0006536
70,3286.77,1.37415,1.05267,1.48074,0.93557,0.89247,0.93771,0.64708,1.18314,0.9973,1.44668,0.0006338,0.0006338,0.0006338
71,3332.39,1.37176,0.98577,1.40647,0.94504,0.92454,0.93786,0.63026,1.23106,0.98965,1.46799,0.000614,0.000614,0.000614
